" Landtagswahl 2003 - Stimmen - 28.09.2003",,,,"(Stand 29.09.2003 17:09)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Nr.","Name","Wahlbe-","abgegeb.","Wahlbet.","ungültige",,"gültige",,"ÖVP",,"SPÖ",,"FPÖ",,"GRÜNE",,"KPÖ",,"erste Eingabe",,"letzte Eingabe",
40831,"Waizenkirchen                 ",2792,2341,83.85,63,2.69,2278,97.31,1281,56.23,564,24.76,183,8.03,235,10.32,15,0.66,"28.09.03",0.69,"28.09.03",0.69
40832,"Wallern an der Trattnach      ",2224,1881,84.58,32,1.7,1849,98.3,760,41.1,718,38.83,191,10.33,172,9.3,8,0.43,"28.09.03",0.74,"28.09.03",0.74
40833,"Weibern                       ",1139,944,82.88,33,3.5,911,96.5,496,54.45,226,24.81,84,9.22,98,10.76,7,0.77,"28.09.03",0.77,"28.09.03",0.77
40834,"Wendling                      ",598,520,86.96,21,4.04,499,95.96,294,58.92,78,15.63,93,18.64,28,5.61,6,1.2,"28.09.03",0.6,"28.09.03",0.6
40900,"Bezirk Kirchdorf an der Krems        ",40208,33186,82.54,835,2.52,32351,97.48,15114,46.72,11575,35.78,2947,9.11,2521,7.79,194,0.6,"28.09.03",0.84,"28.09.03",0.84
40901,"Edlbach                       ",462,406,87.88,6,1.48,400,98.52,239,59.75,117,29.25,25,6.25,19,4.75,0,0,"28.09.03",0.69,"28.09.03",0.69
40902,"Grünburg                      ",2750,2209,80.33,55,2.49,2154,97.51,978,45.4,849,39.42,199,9.24,124,5.76,4,0.19,"28.09.03",0.81,"28.09.03",0.81
40903,"Hinterstoder                  ",786,648,82.44,22,3.4,626,96.6,336,53.67,157,25.08,97,15.5,33,5.27,3,0.48,"28.09.03",0.64,"28.09.03",0.64
40904,"Inzersdorf im Kremstal        ",1339,1118,83.5,25,2.24,1093,97.76,594,54.35,298,27.26,99,9.06,92,8.42,10,0.91,"28.09.03",0.7,"28.09.03",0.7
40905,"Kirchdorf an der Krems        ",2998,2419,80.69,66,2.73,2353,97.27,932,39.61,957,40.67,185,7.86,268,11.39,11,0.47,"28.09.03",0.71,"28.09.03",0.71
40906,"Klaus an der Pyhrnbahn        ",819,725,88.52,11,1.52,714,98.48,239,33.47,380,53.22,59,8.26,28,3.92,8,1.12,"28.09.03",0.65,"28.09.03",0.65
40907,"Kremsmünster                  ",4510,3519,78.03,112,3.18,3407,96.82,1731,50.81,916,26.89,441,12.94,297,8.72,22,0.65,"28.09.03",0.69,"28.09.03",0.69
40908,"Micheldorf in Oberösterreich  ",4183,3384,80.9,66,1.95,3318,98.05,1132,34.12,1552,46.78,294,8.86,313,9.43,27,0.81,"28.09.03",0.79,"28.09.03",0.79
40909,"Molln                         ",2660,2313,86.95,28,1.21,2285,98.79,863,37.77,1037,45.38,172,7.53,205,8.97,8,0.35,"28.09.03",0.67,"28.09.03",0.67
40910,"Nußbach                       ",1657,1386,83.65,28,2.02,1358,97.98,820,60.38,393,28.94,67,4.93,74,5.45,4,0.29,"28.09.03",0.8,"28.09.03",0.8
40911,"Oberschlierbach               ",350,331,94.57,11,3.32,320,96.68,158,49.38,116,36.25,10,3.13,35,10.94,1,0.31,"28.09.03",0.58,"28.09.03",0.58
40912,"Pettenbach                    ",3357,2710,80.73,97,3.58,2613,96.42,1237,47.34,792,30.31,325,12.44,227,8.69,32,1.22,"28.09.03",0.72,"28.09.03",0.72
40913,"Ried im Traunkreis            ",1860,1541,82.85,52,3.37,1489,96.63,848,56.95,393,26.39,143,9.6,100,6.72,5,0.34,"28.09.03",0.79,"28.09.03",0.79
40914,"Rosenau am Hengstpaß          ",534,471,88.2,11,2.34,460,97.66,171,37.17,246,53.48,28,6.09,14,3.04,1,0.22,"28.09.03",0.75,"28.09.03",0.75
40915,"Roßleithen                    ",1364,1154,84.6,16,1.39,1138,98.61,467,41.04,493,43.32,91,8,81,7.12,6,0.53,"28.09.03",0.81,"28.09.03",0.81
40916,"St.Pankraz                    ",267,240,89.89,5,2.08,235,97.92,81,34.47,107,45.53,38,16.17,3,1.28,6,2.55,"28.09.03",0.57,"28.09.03",0.57
40917,"Schlierbach                   ",2002,1572,78.52,37,2.35,1535,97.65,746,48.6,437,28.47,126,8.21,219,14.27,7,0.46,"28.09.03",0.75,"28.09.03",0.75
40918,"Spital am Pyhrn               ",1721,1532,89.02,42,2.74,1490,97.26,679,45.57,655,43.96,97,6.51,52,3.49,7,0.47,"28.09.03",0.71,"28.09.03",0.71
40919,"Steinbach am Ziehberg         ",623,529,84.91,21,3.97,508,96.03,283,55.71,132,25.98,61,12.01,32,6.3,0,0,"28.09.03",0.62,"28.09.03",0.62
40920,"Steinbach an der Steyr        ",1492,1280,85.79,31,2.42,1249,97.58,669,53.56,412,32.99,91,7.29,70,5.6,7,0.56,"28.09.03",0.71,"28.09.03",0.71
40921,"Vorderstoder                  ",614,543,88.44,15,2.76,528,97.24,306,57.95,151,28.6,50,9.47,18,3.41,3,0.57,"28.09.03",0.7,"28.09.03",0.7
40922,"Wartberg an der Krems         ",2156,1681,77.97,47,2.8,1634,97.2,921,56.36,432,26.44,131,8.02,137,8.38,13,0.8,"28.09.03",0.71,"28.09.03",0.71
40923,"Windischgarsten               ",1704,1475,86.56,31,2.1,1444,97.9,684,47.37,553,38.3,118,8.17,80,5.54,9,0.62,"28.09.03",0.84,"28.09.03",0.84
41000,"Bezirk Linz-Land                     ",95871,74713,77.93,1461,1.96,73252,98.04,26946,36.79,33295,45.45,5272,7.2,7169,9.79,570,0.78,"28.09.03",0.87,"28.09.03",0.87
41001,"Allhaming                     ",749,666,88.92,13,1.95,653,98.05,330,50.54,233,35.68,40,6.13,42,6.43,8,1.23,"28.09.03",0.72,"28.09.03",0.72
41002,"Ansfelden                     ",10693,8120,75.94,151,1.86,7969,98.14,2261,28.37,4248,53.31,706,8.86,685,8.6,69,0.87,"28.09.03",0.77,"28.09.03",0.87
41003,"Asten                         ",4538,3293,72.57,63,1.91,3230,98.09,870,26.93,1785,55.26,286,8.85,252,7.8,37,1.15,"28.09.03",0.79,"28.09.03",0.79
41004,"Eggendorf im Traunkreis       ",540,492,91.11,5,1.02,487,98.98,250,51.33,183,37.58,32,6.57,20,4.11,2,0.41,"28.09.03",0.6,"28.09.03",0.6
41005,"Enns                          ",7603,5986,78.73,116,1.94,5870,98.06,2061,35.11,2812,47.9,333,5.67,628,10.7,36,0.61,"28.09.03",0.8,"28.09.03",0.8
41006,"Hargelsberg                   ",844,719,85.19,20,2.78,699,97.22,361,51.65,254,36.34,42,6.01,38,5.44,4,0.57,"28.09.03",0.66,"28.09.03",0.66
41007,"Hörsching                     ",4079,3229,79.16,76,2.35,3153,97.65,1249,39.61,1364,43.26,248,7.87,263,8.34,29,0.92,"28.09.03",0.77,"28.09.03",0.77
41008,"Hofkirchen im Traunkreis      ",1074,884,82.31,13,1.47,871,98.53,392,45.01,319,36.62,67,7.69,90,10.33,3,0.34,"28.09.03",0.7,"28.09.03",0.7
41009,"Kematen an der Krems          ",1563,1325,84.77,21,1.58,1304,98.42,602,46.17,509,39.03,91,6.98,99,7.59,3,0.23,"28.09.03",0.7,"28.09.03",0.7
41010,"Kirchberg-Thening             ",1690,1428,84.5,29,2.03,1399,97.97,428,30.59,662,47.32,139,9.94,161,11.51,9,0.64,"28.09.03",0.72,"28.09.03",0.72
41011,"Kronstorf                     ",2269,1889,83.25,23,1.22,1866,98.78,697,37.35,874,46.84,151,8.09,137,7.34,7,0.38,"28.09.03",0.83,"28.09.03",0.83
41012,"Leonding                      ",16850,12667,75.18,232,1.83,12435,98.17,4310,34.66,5397,43.4,962,7.74,1650,13.27,116,0.93,"28.09.03",0.78,"28.09.03",0.78
41013,"St.Florian                    ",4278,3562,83.26,90,2.53,3472,97.47,1617,46.57,1277,36.78,165,4.75,392,11.29,21,0.6,"28.09.03",0.73,"28.09.03",0.73
41014,"Neuhofen an der Krems         ",4062,3257,80.18,73,2.24,3184,97.76,1358,42.65,1201,37.72,213,6.69,385,12.09,27,0.85,"28.09.03",0.8,"28.09.03",0.8
41015,"Niederneukirchen              ",1346,1213,90.12,20,1.65,1193,98.35,592,49.62,431,36.13,58,4.86,108,9.05,4,0.34,"28.09.03",0.78,"28.09.03",0.78
41016,"Oftering                      ",1412,1224,86.69,24,1.96,1200,98.04,456,38,538,44.83,100,8.33,98,8.17,8,0.67,"28.09.03",0.73,"28.09.03",0.73
41017,"Pasching                      ",4794,3759,78.41,91,2.42,3668,97.58,1217,33.18,1762,48.04,278,7.58,385,10.5,26,0.71,"28.09.03",0.87,"28.09.03",0.87
41018,"Piberbach                     ",1283,1110,86.52,13,1.17,1097,98.83,441,40.2,504,45.94,86,7.84,60,5.47,6,0.55,"28.09.03",0.74,"28.09.03",0.74
41019,"Pucking                       ",2603,2109,81.02,42,1.99,2067,98.01,846,40.93,857,41.46,176,8.51,173,8.37,15,0.73,"28.09.03",0.72,"28.09.03",0.72
41020,"St.Marien                     ",3155,2679,84.91,39,1.46,2640,98.54,1185,44.89,1069,40.49,117,4.43,252,9.55,17,0.64,"28.09.03",0.77,"28.09.03",0.77
41021,"Traun                         ",16412,11685,71.2,231,1.98,11454,98.02,3998,34.9,5791,50.56,775,6.77,791,6.91,99,0.86,"28.09.03",0.84,"28.09.03",0.84
41022,"Wilhering                     ",4034,3417,84.71,76,2.22,3341,97.78,1425,42.65,1225,36.67,207,6.2,460,13.77,24,0.72,"28.09.03",0.81,"28.09.03",0.81
41100,"Bezirk Perg                          ",47386,40733,85.96,819,2.01,39914,97.99,18213,45.63,16724,41.9,2063,5.17,2714,6.8,200,0.5,"28.09.03",0.85,"28.09.03",0.92
41101,"Allerheiligen im Mühlkreis    ",878,804,91.57,17,2.11,787,97.89,436,55.4,262,33.29,33,4.19,48,6.1,8,1.02,"28.09.03",0.68,"28.09.03",0.68
41102,"Arbing                        ",974,882,90.55,16,1.81,866,98.19,466,53.81,285,32.91,41,4.73,72,8.31,2,0.23,"28.09.03",0.73,"28.09.03",0.73
41103,"Baumgartenberg                ",1095,973,88.86,32,3.29,941,96.71,531,56.43,278,29.54,70,7.44,56,5.95,6,0.64,"28.09.03",0.77,"28.09.03",0.77
41104,"Dimbach                       ",812,725,89.29,19,2.62,706,97.38,421,59.63,237,33.57,23,3.26,23,3.26,2,0.28,"28.09.03",0.72,"28.09.03",0.72
41105,"Grein                         ",2350,1975,84.04,43,2.18,1932,97.82,880,45.55,816,42.24,90,4.66,138,7.14,8,0.41,"28.09.03",0.72,"28.09.03",0.75
41106,"Katsdorf                      ",2049,1786,87.16,38,2.13,1748,97.87,746,42.68,771,44.11,70,4,153,8.75,8,0.46,"28.09.03",0.83,"28.09.03",0.83
41107,"Klam                          ",578,527,91.18,17,3.23,510,96.77,275,53.92,140,27.45,64,12.55,27,5.29,4,0.78,"28.09.03",0.6,"28.09.03",0.73
41108,"Bad Kreuzen                   ",1560,1338,85.77,24,1.79,1314,98.21,1010,76.86,182,13.85,58,4.41,59,4.49,5,0.38,"28.09.03",0.7,"28.09.03",0.7
41109,"Langenstein                   ",1950,1652,84.72,29,1.76,1623,98.24,406,25.02,1048,64.57,46,2.83,107,6.59,16,0.99,"28.09.03",0.75,"28.09.03",0.75
41110,"Luftenberg an der Donau       ",2876,2457,85.43,38,1.55,2419,98.45,644,26.62,1420,58.7,159,6.57,191,7.9,5,0.21,"28.09.03",0.85,"28.09.03",0.85
41111,"Mauthausen                    ",3523,2865,81.32,67,2.34,2798,97.66,850,30.38,1589,56.79,131,4.68,213,7.61,15,0.54,"28.09.03",0.81,"28.09.03",0.81
41112,"Mitterkirchen im Machland     ",1337,1195,89.38,28,2.34,1167,97.66,616,52.78,441,37.79,57,4.88,50,4.28,3,0.26,"28.09.03",0.77,"28.09.03",0.78
41113,"Münzbach                      ",1201,1023,85.18,28,2.74,995,97.26,685,68.84,198,19.9,83,8.34,28,2.81,1,0.1,"28.09.03",0.7,"28.09.03",0.7
41114,"Naarn im Machlande            ",2509,2201,87.72,38,1.73,2163,98.27,1044,48.27,906,41.89,100,4.62,106,4.9,7,0.32,"28.09.03",0.84,"28.09.03",0.84
41115,"Pabneukirchen                 ",1257,1054,83.85,13,1.23,1041,98.77,680,65.32,252,24.21,54,5.19,45,4.32,10,0.96,"28.09.03",0.69,"28.09.03",0.69
41116,"Perg                          ",5179,4197,81.04,106,2.53,4091,97.47,1892,46.25,1496,36.57,295,7.21,389,9.51,19,0.46,"28.09.03",0.7,"28.09.03",0.92
41117,"Rechberg                      ",596,554,92.95,8,1.44,546,98.56,384,70.33,123,22.53,18,3.3,20,3.66,1,0.18,"28.09.03",0.71,"28.09.03",0.73
41118,"Ried in der Riedmark          ",2849,2506,87.96,46,1.84,2460,98.16,1013,41.18,1202,48.86,71,2.89,159,6.46,15,0.61,"28.09.03",0.75,"28.09.03",0.75
41119,"St.Georgen am Walde           ",1625,1390,85.54,29,2.09,1361,97.91,671,49.3,591,43.42,37,2.72,60,4.41,2,0.15,"28.09.03",0.71,"28.09.03",0.71
41120,"St.Georgen an der Gusen       ",2755,2287,83.01,42,1.84,2245,98.16,731,32.56,1181,52.61,94,4.19,218,9.71,21,0.94,"28.09.03",0.72,"28.09.03",0.72
41121,"St.Nikola an der Donau        ",597,534,89.45,7,1.31,527,98.69,308,58.44,169,32.07,19,3.61,29,5.5,2,0.38,"28.09.03",0.63,"28.09.03",0.63
41122,"St.Thomas am Blasenstein      ",655,571,87.18,13,2.28,558,97.72,404,72.4,120,21.51,17,3.05,12,2.15,5,0.9,"28.09.03",0.56,"28.09.03",0.58
41123,"Saxen                         ",1308,1226,93.73,25,2.04,1201,97.96,521,43.38,380,31.64,210,17.49,80,6.66,10,0.83,"28.09.03",0.75,"28.09.03",0.76
41124,"Schwertberg                   ",3774,3232,85.64,54,1.67,3178,98.33,1086,34.17,1675,52.71,136,4.28,263,8.28,18,0.57,"28.09.03",0.72,"28.09.03",0.75
41125,"Waldhausen im Strudengau      ",2137,1923,89.99,28,1.46,1895,98.54,955,50.4,755,39.84,61,3.22,121,6.39,3,0.16,"28.09.03",0.76,"28.09.03",0.76
41126,"Windhaag bei Perg             ",962,856,88.98,14,1.64,842,98.36,558,66.27,207,24.58,26,3.09,47,5.58,4,0.48,"28.09.03",0.69,"28.09.03",0.73
41200,"Bezirk Ried im Innkreis              ",43231,35059,81.1,1139,3.25,33920,96.75,16593,48.92,9829,28.98,4718,13.91,2542,7.49,238,0.7,"28.09.03",0.73,"28.09.03",0.81
41201,"Andrichsfurt                  ",542,430,79.34,17,3.95,413,96.05,237,57.38,66,15.98,82,19.85,24,5.81,4,0.97,"28.09.03",0.54,"28.09.03",0.54
41202,"Antiesenhofen                 ",781,650,83.23,16,2.46,634,97.54,285,44.95,214,33.75,89,14.04,43,6.78,3,0.47,"28.09.03",0.61,"28.09.03",0.61
41203,"Aurolzmünster                 ",2105,1610,76.48,61,3.79,1549,96.21,638,41.19,557,35.96,264,17.04,81,5.23,9,0.58,"28.09.03",0.69,"28.09.03",0.69
41204,"Eberschwang                   ",2569,2192,85.33,87,3.97,2105,96.03,751,35.68,901,42.8,280,13.3,159,7.55,14,0.67,"28.09.03",0.65,"28.09.03",0.65
41205,"Eitzing                       ",533,480,90.06,19,3.96,461,96.04,252,54.66,119,25.81,74,16.05,14,3.04,2,0.43,"28.09.03",0.59,"28.09.03",0.59
41206,"Geiersberg                    ",401,341,85.04,7,2.05,334,97.95,191,57.19,89,26.65,35,10.48,18,5.39,1,0.3,"28.09.03",0.62,"28.09.03",0.62
41207,"Geinberg                      ",965,862,89.33,39,4.52,823,95.48,381,46.29,223,27.1,161,19.56,49,5.95,9,1.09,"28.09.03",0.61,"28.09.03",0.61
41208,"Gurten                        ",867,720,83.04,27,3.75,693,96.25,356,51.37,182,26.26,96,13.85,53,7.65,6,0.87,"28.09.03",0.6,"28.09.03",0.6
41209,"Hohenzell                     ",1528,1272,83.25,34,2.67,1238,97.33,748,60.42,253,20.44,124,10.02,105,8.48,8,0.65,"28.09.03",0.68,"28.09.03",0.68
41210,"Kirchdorf am Inn              ",462,412,89.18,8,1.94,404,98.06,258,63.86,85,21.04,45,11.14,14,3.47,2,0.5,"28.09.03",0.62,"28.09.03",0.62
41211,"Kirchheim im Innkreis         ",510,458,89.8,14,3.06,444,96.94,237,53.38,119,26.8,63,14.19,24,5.41,1,0.23,"28.09.03",0.62,"28.09.03",0.62
41212,"Lambrechten                   ",991,860,86.78,35,4.07,825,95.93,438,53.09,183,22.18,153,18.55,43,5.21,8,0.97,"28.09.03",0.66,"28.09.03",0.66
41213,"Lohnsburg am Kobernaußerwald  ",1766,1370,77.58,42,3.07,1328,96.93,733,55.2,353,26.58,155,11.67,73,5.5,14,1.05,"28.09.03",0.61,"28.09.03",0.61
41214,"Mehrnbach                     ",1777,1441,81.09,62,4.3,1379,95.7,672,48.73,323,23.42,271,19.65,100,7.25,13,0.94,"28.09.03",0.7,"28.09.03",0.7
41215,"Mettmach                      ",1898,1584,83.46,72,4.55,1512,95.45,678,44.84,513,33.93,243,16.07,65,4.3,13,0.86,"28.09.03",0.71,"28.09.03",0.71
41216,"Mörschwang                    ",233,199,85.41,4,2.01,195,97.99,141,72.31,22,11.28,12,6.15,19,9.74,1,0.51,"28.09.03",0.54,"28.09.03",0.54
41217,"Mühlheim am Inn               ",502,440,87.65,7,1.59,433,98.41,183,42.26,165,38.11,55,12.7,28,6.47,2,0.46,"28.09.03",0.62,"28.09.03",0.62
41218,"Neuhofen im Innkreis          ",1568,1253,79.91,48,3.83,1205,96.17,596,49.46,365,30.29,119,9.88,122,10.12,3,0.25,"28.09.03",0.7,"28.09.03",0.7
41219,"Obernberg am Inn              ",1217,886,72.8,31,3.5,855,96.5,384,44.91,284,33.22,118,13.8,64,7.49,5,0.58,"28.09.03",0.65,"28.09.03",0.65
41220,"Ort im Innkreis               ",880,735,83.52,26,3.54,709,96.46,358,50.49,139,19.61,158,22.28,48,6.77,6,0.85,"28.09.03",0.64,"28.09.03",0.64
41221,"Pattigham                     ",653,554,84.84,20,3.61,534,96.39,310,58.05,143,26.78,39,7.3,38,7.12,4,0.75,"28.09.03",0.61,"28.09.03",0.81
41222,"Peterskirchen                 ",534,453,84.83,6,1.32,447,98.68,308,68.9,63,14.09,40,8.95,33,7.38,3,0.67,"28.09.03",0.64,"28.09.03",0.64
41223,"Pramet                        ",750,617,82.27,18,2.92,599,97.08,276,46.08,189,31.55,91,15.19,40,6.68,3,0.5,"28.09.03",0.62,"28.09.03",0.62
41224,"Reichersberg                  ",1040,838,80.58,24,2.86,814,97.14,414,50.86,230,28.26,116,14.25,50,6.14,4,0.49,"28.09.03",0.62,"28.09.03",0.62
41225,"Ried im Innkreis              ",8334,6128,73.53,149,2.43,5979,97.57,2548,42.62,1817,30.39,874,14.62,682,11.41,58,0.97,"28.09.03",0.73,"28.09.03",0.73
41226,"St.Georgen b. Obernberg am Inn",440,366,83.18,14,3.83,352,96.17,244,69.32,40,11.36,29,8.24,37,10.51,2,0.57,"28.09.03",0.59,"28.09.03",0.59
41227,"St.Marienkirchen am Hausruck  ",535,477,89.16,8,1.68,469,98.32,269,57.36,65,13.86,112,23.88,22,4.69,1,0.21,"28.09.03",0.62,"28.09.03",0.62
41228,"St.Martin im Innkreis         ",1145,961,83.93,32,3.33,929,96.67,407,43.81,266,28.63,180,19.38,72,7.75,4,0.43,"28.09.03",0.64,"28.09.03",0.64
41229,"Schildorn                     ",762,680,89.24,20,2.94,660,97.06,310,46.97,280,42.42,40,6.06,25,3.79,5,0.76,"28.09.03",0.6,"28.09.03",0.6
41230,"Senftenbach                   ",547,466,85.19,11,2.36,455,97.64,250,54.95,99,21.76,69,15.16,36,7.91,1,0.22,"28.09.03",0.62,"28.09.03",0.62
41231,"Taiskirchen im Innkreis       ",1778,1445,81.27,62,4.29,1383,95.71,797,57.63,350,25.31,126,9.11,104,7.52,6,0.43,"28.09.03",0.62,"28.09.03",0.62
41232,"Tumeltsham                    ",1057,856,80.98,35,4.09,821,95.91,449,54.69,149,18.15,127,15.47,90,10.96,6,0.73,"28.09.03",0.69,"28.09.03",0.69
41233,"Utzenaich                     ",1072,883,82.37,35,3.96,848,96.04,440,51.89,233,27.48,108,12.74,61,7.19,6,0.71,"28.09.03",0.67,"28.09.03",0.67
41234,"Waldzell                      ",1584,1359,85.8,30,2.21,1329,97.79,625,47.03,533,40.11,103,7.75,60,4.51,8,0.6,"28.09.03",0.66,"28.09.03",0.69
41235,"Weilbach                      ",472,404,85.59,13,3.22,391,96.78,246,62.92,83,21.23,40,10.23,22,5.63,0,0,"28.09.03",0.63,"28.09.03",0.63
41236,"Wippenham                     ",433,377,87.07,6,1.59,371,98.41,183,49.33,134,36.12,27,7.28,24,6.47,3,0.81,"28.09.03",0.57,"28.09.03",0.57
41300,"Bezirk Rohrbach                      ",42911,36487,85.03,950,2.6,35537,97.4,20639,58.08,10054,28.29,2115,5.95,2494,7.02,235,0.66,"28.09.03",0.79,"28.09.03",0.79
41301,"Afiesl                        ",307,271,88.27,9,3.32,262,96.68,152,58.02,85,32.44,10,3.82,13,4.96,2,0.76,"28.09.03",0.57,"28.09.03",0.57
41302,"Ahorn                         ",375,349,93.07,8,2.29,341,97.71,180,52.79,107,31.38,24,7.04,18,5.28,12,3.52,"28.09.03",0.64,"28.09.03",0.64
41303,"Aigen im Mühlkreis            ",1457,1135,77.9,38,3.35,1097,96.65,611,55.7,313,28.53,73,6.65,90,8.2,10,0.91,"28.09.03",0.7,"28.09.03",0.7
41304,"Altenfelden                   ",1623,1341,82.62,41,3.06,1300,96.94,663,51,375,28.85,151,11.62,99,7.62,12,0.92,"28.09.03",0.75,"28.09.03",0.75
41305,"Arnreit                       ",808,699,86.51,18,2.58,681,97.42,465,68.28,112,16.45,54,7.93,44,6.46,6,0.88,"28.09.03",0.69,"28.09.03",0.69
41306,"Atzesberg                     ",360,320,88.89,10,3.13,310,96.88,224,72.26,47,15.16,21,6.77,15,4.84,3,0.97,"28.09.03",0.6,"28.09.03",0.6
41307,"Auberg                        ",393,333,84.73,12,3.6,321,96.4,196,61.06,54,16.82,49,15.26,20,6.23,2,0.62,"28.09.03",0.54,"28.09.03",0.54
41308,"Berg bei Rohrbach             ",2004,1637,81.69,48,2.93,1589,97.07,885,55.7,424,26.68,103,6.48,170,10.7,7,0.44,"28.09.03",0.69,"28.09.03",0.69
41309,"Haslach an der Mühl           ",2017,1746,86.56,39,2.23,1707,97.77,734,43,733,42.94,70,4.1,160,9.37,10,0.59,"28.09.03",0.72,"28.09.03",0.72
41310,"Helfenberg                    ",773,705,91.2,19,2.7,686,97.3,412,60.06,189,27.55,19,2.77,54,7.87,12,1.75,"28.09.03",0.68,"28.09.03",0.68
41311,"Hörbich                       ",302,274,90.73,6,2.19,268,97.81,196,73.13,45,16.79,20,7.46,4,1.49,3,1.12,"28.09.03",0.6,"28.09.03",0.6
41312,"Hofkirchen im Mühlkreis       ",1093,929,85,35,3.77,894,96.23,558,62.42,213,23.83,34,3.8,78,8.72,11,1.23,"28.09.03",0.73,"28.09.03",0.73
41313,"Julbach                       ",1244,1163,93.49,28,2.41,1135,97.59,530,46.7,495,43.61,54,4.76,50,4.41,6,0.53,"28.09.03",0.75,"28.09.03",0.75
41314,"Kirchberg ob der Donau        ",840,711,84.64,11,1.55,700,98.45,369,52.71,251,35.86,40,5.71,34,4.86,6,0.86,"28.09.03",0.71,"28.09.03",0.71
41315,"Klaffer am Hochficht          ",995,897,90.15,7,0.78,890,99.22,420,47.19,382,42.92,49,5.51,35,3.93,4,0.45,"28.09.03",0.75,"28.09.03",0.75
41316,"Kleinzell im Mühlkreis        ",1091,921,84.42,32,3.47,889,96.53,433,48.71,333,37.46,68,7.65,54,6.07,1,0.11,"28.09.03",0.69,"28.09.03",0.69
41317,"Kollerschlag                  ",1083,916,84.58,36,3.93,880,96.07,541,61.48,276,31.36,34,3.86,24,2.73,5,0.57,"28.09.03",0.71,"28.09.03",0.71
41318,"Lembach im Mühlkreis          ",1162,937,80.64,26,2.77,911,97.23,479,52.58,294,32.27,56,6.15,76,8.34,6,0.66,"28.09.03",0.7,"28.09.03",0.7
41319,"Lichtenau im Mühlkreis        ",419,377,89.98,15,3.98,362,96.02,227,62.71,100,27.62,22,6.08,12,3.31,1,0.28,"28.09.03",0.62,"28.09.03",0.62
41320,"Nebelberg                     ",462,438,94.81,8,1.83,430,98.17,288,66.98,115,26.74,8,1.86,14,3.26,5,1.16,"28.09.03",0.69,"28.09.03",0.69
41321,"Neufelden                     ",910,743,81.65,16,2.15,727,97.85,389,53.51,214,29.44,32,4.4,89,12.24,3,0.41,"28.09.03",0.73,"28.09.03",0.73
41322,"Niederkappel                  ",782,701,89.64,14,2,687,98,450,65.5,165,24.02,43,6.26,26,3.78,3,0.44,"28.09.03",0.71,"28.09.03",0.71
41323,"Niederwaldkirchen             ",1326,1161,87.56,15,1.29,1146,98.71,705,61.52,288,25.13,61,5.32,83,7.24,9,0.79,"28.09.03",0.71,"28.09.03",0.71
41324,"Oberkappel                    ",515,413,80.19,14,3.39,399,96.61,274,68.67,88,22.06,22,5.51,13,3.26,2,0.5,"28.09.03",0.65,"28.09.03",0.65
41325,"Oepping                       ",1222,1037,84.86,23,2.22,1014,97.78,633,62.43,263,25.94,39,3.85,77,7.59,2,0.2,"28.09.03",0.76,"28.09.03",0.76
41326,"Peilstein im Mühlviertel      ",1239,1070,86.36,26,2.43,1044,97.57,624,59.77,327,31.32,52,4.98,39,3.74,2,0.19,"28.09.03",0.73,"28.09.03",0.73
41327,"Pfarrkirchen im Mühlkreis     ",1078,890,82.56,30,3.37,860,96.63,578,67.21,180,20.93,38,4.42,60,6.98,4,0.47,"28.09.03",0.74,"28.09.03",0.74
41328,"Putzleinsdorf                 ",1144,891,77.88,22,2.47,869,97.53,549,63.18,163,18.76,94,10.82,57,6.56,6,0.69,"28.09.03",0.71,"28.09.03",0.71
41329,"Neustift im Mühlkreis         ",1089,929,85.31,25,2.69,904,97.31,614,67.92,222,24.56,26,2.88,42,4.65,0,0,"28.09.03",0.71,"28.09.03",0.71
41330,"Rohrbach in Oberösterreich    ",1780,1504,84.49,47,3.13,1457,96.88,816,56.01,353,24.23,77,5.28,202,13.86,9,0.62,"28.09.03",0.74,"28.09.03",0.74
41331,"St.Johann am Wimberg          ",740,689,93.11,16,2.32,673,97.68,414,61.52,191,28.38,40,5.94,27,4.01,1,0.15,"28.09.03",0.68,"28.09.03",0.68
41332,"St.Martin im Mühlkreis        ",2618,2162,82.58,48,2.22,2114,97.78,1185,56.05,603,28.52,124,5.87,190,8.99,12,0.57,"28.09.03",0.7,"28.09.03",0.7
41333,"St.Oswald bei Haslach         ",419,387,92.36,10,2.58,377,97.42,221,58.62,117,31.03,15,3.98,23,6.1,1,0.27,"28.09.03",0.59,"28.09.03",0.59
41334,"St.Peter am Wimberg           ",1287,1080,83.92,19,1.76,1061,98.24,729,68.71,214,20.17,59,5.56,58,5.47,1,0.09,"28.09.03",0.67,"28.09.03",0.67
41335,"St.Stefan am Walde            ",628,562,89.49,13,2.31,549,97.69,331,60.29,145,26.41,21,3.83,44,8.01,8,1.46,"28.09.03",0.69,"28.09.03",0.69
41336,"St.Ulrich im Mühlkreis        ",461,396,85.9,19,4.8,377,95.2,270,71.62,67,17.77,9,2.39,30,7.96,1,0.27,"28.09.03",0.62,"28.09.03",0.62
41337,"St.Veit im Mühlkreis          ",900,727,80.78,21,2.89,706,97.11,415,58.78,173,24.5,61,8.64,49,6.94,8,1.13,"28.09.03",0.61,"28.09.03",0.61
